PROV1;Dien Bien;;;;;;;;;;;;;x
PROV2;Lai Chau;;;;;;;;;;;;;x
PROV3;Lao Cai;;;;;;;;;;;;;x
PROV4;Son La;;;;;;;;;;;;;x
PROV5;Son La;;;;;;;;;;;;;x
PROV6;Hoa Binh;;;;;;;;;;;;;x
PROV7;Ha Giang;;;;;;;;;;;;;x
PROV8;Tuyen Quang;;;;;;;;;;;;;x
PROV9;Phu Tho;;;;;;;;;;;;;x
PROV10;Coa Bang;;;;;;;;;;;;;x
PROV11;Bac Kan;;;;;;;;;;;;;x
PROV12;Thai Nguyen;;;;;;;;;;;;;x
PROV13;Lang Son;;;;;;;;;;;;;x
PROV14;Bac Giang;;;;;;;;;;;;;x
PROV15;Quang Ninh;;;;;;;;;;;;;x
PROV16;Vinh Phuc;;;;;;;;;;;;;x
PROV17;Hanoi;;;;;;;;;;;;;x
PROV18;Ha Nam;;;;;;;;;;;;;x
PROV19;Nam Dinh;;;;;;;;;;;;;x
PROV20;Ninh Binh;;;;;;;;;;;;;x
PROV21;Bac Ninh;;;;;;;;;;;;;x
PROV22;Hung Yen;;;;;;;;;;;;;x
PROV23;Hai Duong;;;;;;;;;;;;;x
PROV24;Hai Phong;;;;;;;;;;;;;x
PROV25;Thai Binh;;;;;;;;;;;;;x
PROV26;Thanh Hoa;;;;;;;;;;;;;x
PROV27;Nghe An;;;;;;;;;;;;;x
PROV28;Ha Tinh;;;;;;;;;;;;;x
PROV29;Quang Binh;;;;;;;;;;;;;x
PROV30;Quang Tri;;;;;;;;;;;;;x
PROV31;Hue;;;;;;;;;;;;;x
PROV32;Da Nang;;;;;;;;;;;;;x
PROV33;Quang Nam;;;;;;;;;;;;;x
PROV34;Quang Ngai;;;;;;;;;;;;;x
PROV35;Binh Dinh;;;;;;;;;;;;;x
PROV36;Phu Yen;;;;;;;;;;;;;x
PROV37;Khanh Hoa;;;;;;;;;;;;;x
PROV38;Ninh Thuan;;;;;;;;;;;;;x
PROV39;Binh Thuan;;;;;;;;;;;;;x
PROV40;Kon Tum;;;;;;;;;;;;;x
PROV41;Gia Lai;;;;;;;;;;;;;x
PROV42;Dak Lak;;;;;;;;;;;;;x
PROV43;Dak Nong;;;;;;;;;;;;;x
PROV44;Lam Dong;;;;;;;;;;;;;x
PROV45;Binh Phuoc;;;;;;;;;;;;;x
PROV46;Tay Ninh;;;;;;;;;;;;;x
PROV47;Binh Duong;;;;;;;;;;;;;x
PROV48;Dong Nai;;;;;;;;;;;;;x
PROV49;Saigon;;;;;;;;;;;;;x
PROV50;Phouc Tuy;;;;;;;;;;;;;x
PROV51;An Giang;;;;;;;;;;;;;x
PROV52;Dong Thap;;;;;;;;;;;;;x
PROV53;Kieng Giang;;;;;;;;;;;;;x
PROV54;Ca Mau;;;;;;;;;;;;;x
PROV55;Can Tho;;;;;;;;;;;;;x
PROV56;Hau Giang;;;;;;;;;;;;;x
PROV57;Bac Lieu;;;;;;;;;;;;;x
PROV58;Soc Trang;;;;;;;;;;;;;x
PROV59;Long An;;;;;;;;;;;;;x
PROV60;Tien Giang;;;;;;;;;;;;;x
PROV61;Ben Tre;;;;;;;;;;;;;x
PROV62;Vinh Long;;;;;;;;;;;;;x
PROV63;Tra Vinh;;;;;;;;;;;;;x
PROV64;Sa Dec;;;;;;;;;;;;;x
